condition,label,seed,seed_idx,iteration,best_fitness,best_test_accuracy,child_train_accuracy,child_test_accuracy,archive_size,meta_focus_metric,meta_weight_step,meta_threshold_step,meta_exploration_scale,mutation_source,mode
hyperagent,HyperAgent (full system),33,2,5,0.85,0.9,0.8,0.9,6,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,6,0.85,0.9,0.75,0.9,7,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,7,0.85,0.9,0.75,0.9,8,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,8,0.85,0.9,0.65,0.8,9,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,9,0.85,0.9,0.75,0.9,10,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,10,0.85,0.9,0.75,0.9,11,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,11,0.85,0.9,0.8,0.9,12,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,12,0.85,0.9,0.75,0.9,13,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,13,0.85,0.9,0.75,0.8,14,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,14,0.85,0.9,0.75,0.8,15,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,15,0.85,0.9,0.75,0.8,16,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,16,0.85,0.9,0.75,0.8,17,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,17,0.85,0.9,0.75,0.9,18,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,18,0.85,0.9,0.75,0.8,19,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,19,0.85,0.9,0.75,0.8,20,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,20,0.85,0.9,0.65,0.8,21,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,21,0.85,0.9,0.7,0.8,22,security,0.08,0.11,0.44,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,22,0.85,0.9,0.7,0.8,23,security,0.08,0.11,0.44,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,23,0.85,0.9,0.7,0.8,24,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,24,0.85,0.9,0.85,0.9,25,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,25,0.85,0.9,0.85,0.9,26,security,0.08,0.1,0.37,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,26,0.85,0.9,0.65,0.9,27,security,0.08,0.11,0.44,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,27,0.85,0.9,0.7,0.8,28,security,0.08,0.11,0.44,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,28,0.85,0.9,0.8,0.9,29,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,29,0.85,0.9,0.85,0.9,30,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,30,0.85,0.9,0.8,0.9,31,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,31,0.85,0.9,0.7,0.8,32,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,32,0.85,0.9,0.7,0.8,33,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,33,0.85,0.9,0.8,0.9,34,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,34,0.85,0.9,0.7,0.9,35,security,0.075,0.105,0.42,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,35,0.85,0.9,0.75,0.9,36,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,36,0.85,0.9,0.7,0.8,37,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,37,0.85,0.9,0.75,0.9,38,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,38,0.85,0.9,0.75,0.9,39,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,39,0.85,0.9,0.8,0.9,40,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),33,2,40,0.85,0.9,0.8,0.9,41,security,0.075,0.105,0.42,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,0,0.65,0.8,0.65,0.8,1,security,0.12,0.07,0.18,seed,hyperagent
